,label,group,source,OR,CI_low,CI_high,p_value
STRESS,Work stress,mod,base,1.5314368330715553,1.2719388467916806,1.8438769911021913,6.816645047091896e-06
MHEALTH,Job harms mental health,mod,base,1.6380835247551089,1.4359595527870936,1.8686582284758617,2.0539125955565396e-13
WORKLIFE,Time for personal life,mod,base,1.1232007085271125,0.9257923772004255,1.3627027643614817,0.238745870504796
VALUED,Feels valued by society,mod,base,0.7778943803804715,0.685642631794575,0.8825584042866479,9.629016641721222e-05
AGEGRP,Age (grouped),fixed,base,0.7831469970863432,0.6232240189903542,0.9841071594752663,0.03595197939090933
EXP,Years experience,fixed,base,1.0605554368864076,0.8726592756339646,1.2889083587545629,0.5545646235389359
AUTONOMY,Classroom autonomy,mod,augmented,0.8940765205364103,0.7827211891841098,1.0212740316992588,0.0989816435903823
DISRUPT,Disruption / lost time,mod,augmented,1.2147641818971047,1.0008270001387152,1.474432661604469,0.0490262014387457
SALARY,Salary satisfaction,mod,augmented,0.8782360429759171,0.7295865730704844,1.057172069293938,0.16995249656874556
HOURS,Weekly working hours,mod,augmented,0.786470673587225,0.6489921103795466,0.9530718640801478,0.01427297813288586
LEADERSHIP,Supportive school leader,mod,augmented,1.0800716372127777,0.930446499743828,1.2537579988023682,0.31132597341706925
FIRSTCHOICE,Teaching was 1st choice,fixed,augmented,0.6705404850998167,0.4649852830391524,0.9669651031085182,0.032366263320947164
